name,address,city,state,county,status,date
GATOR DENTAL,P.O.BOX 10,HAWTHRONE,FL,ALACHUA,A,2/12/18
GATOR LAND LAWN CARE,2601 NW 23RD BLVD APT 248,GAINESVILLE,FL,MULTIPLE,A,1/23/18
GATOR PRECISION ARMS,23016 NW 142ND AVE,HIGH SPRINGS,FL,ALACHUA,A,1/12/18
GATOR TOWN INN,3820 SW 13TH STREET,GAINESVILLE,FL,MULTIPLE,A,12/12/17
GATOR SHINE COMPLETE AUTO DETAILING,1700 N.MAIN STREET,GAINESVILLE,FL,MULTIPLE,A,11/30/17
GATOR SURVIVAL GEAR,2515 SW. 35TH PLACE,GAINESVILLE,FL,ALACHUA,A,11/16/17
GATOR SPIRIT DISCOUNT FOOD & BEVERAGE,1618 N.W. 1ST AVE,GAINESVILLE,FL,ALACHUA,A,9/18/17
GATOR CONVENIENCE AND FOOD MART,3550 SW 34TH ST,GAINESVILLE,FL,ALACHUA,A,9/5/17
GATOR HOMES REALTY,3429 NW 62ND PLACE,GAINESVILLE,FL,ALACHUA,A,7/5/17
GATOR PRINT SHOP,PO 358998,GAINESVILLE,FL,MULTIPLE,A,6/23/17
GATOR DIVE CLUB,10544 NW 31ST PLACE,GAINESVILLE,FL,ALACHUA,A,4/4/17
GATOR AUTO CUSTOMS,3500 NE WALDO ROAD,GAINESVILLE,FL,ALACHUA,A,2/22/17
GATOR JUNIOR GOLF ASSOCIATION,3527 SW 20TH AVE,GAINESVILLE,FL,ALACHUA,A,2/10/17
GATOR GARAGE,1602 NW 6TH STREEET,GAINESVILLE,FL,ALACHUA,A,1/4/17
GATORLAND COMPUTERS,2716 NW 39TH DR,GAINESVILLE,FL,ALACHUA,A,7/29/16
GATOR PROFESSIONAL CLEANING SERVICES,1111 NE 21ST COURT,GAINESVILLE,FL,MULTIPLE,A,7/26/16
GATOR HOTEL & SUITES,7516 W NEWBERRY RD,GAINESVILLE,FL,ALACHUA,A,7/6/16
GATOR MATER,PO BOX 5253,GAINESVILLE,FL,ALACHUA,A,6/25/16
GATOR LANDSCAPE SERVICES,11427 SW 10TH TERR.,MICANOPY,FL,MULTIPLE,A,6/24/16
GATOR GUTTERS,22531 SE 60TH PLACE,HAWTHORNE,FL,ALACHUA,A,6/16/16
